keyword	search_volume	verdict	reason
ma trận xoay lộn xộn phải làm sao		pass	no volume returned; quality gates decide
lỗi ma trận xoay lộn xộn spss		pass	no volume returned; quality gates decide
ma trận xoay không hội tụ phải làm sao		pass	no volume returned; quality gates decide
lỗi ma trận xoay không hội tụ spss		pass	no volume returned; quality gates decide
biến bị loại khi xoay nhân tố phải làm sao		pass	no volume returned; quality gates decide
lỗi biến bị loại khi xoay nhân tố spss		pass	no volume returned; quality gates decide
biến tải lên hai nhân tố phải làm sao		pass	no volume returned; quality gates decide
lỗi biến tải lên hai nhân tố spss		pass	no volume returned; quality gates decide
kmo nhỏ hơn 0 5 phải làm sao		pass	no volume returned; quality gates decide
lỗi kmo nhỏ hơn 0 5 spss		pass	no volume returned; quality gates decide
kiểm định bartlett không có ý nghĩa phải làm sao		pass	no volume returned; quality gates decide
lỗi kiểm định bartlett không có ý nghĩa spss		pass	no volume returned; quality gates decide
phương sai trích dưới 50 phải làm sao		pass	no volume returned; quality gates decide
lỗi phương sai trích dưới 50 spss		pass	no volume returned; quality gates decide
hệ số tải nhân tố thấp phải làm sao		pass	no volume returned; quality gates decide
lỗi hệ số tải nhân tố thấp spss		pass	no volume returned; quality gates decide
efa ra một nhân tố phải làm sao		pass	no volume returned; quality gates decide
lỗi efa ra một nhân tố spss		pass	no volume returned; quality gates decide
cronbach alpha thấp phải làm sao		pass	no volume returned; quality gates decide
lỗi cronbach alpha thấp spss		pass	no volume returned; quality gates decide
cronbach alpha âm phải làm sao		pass	no volume returned; quality gates decide
lỗi cronbach alpha âm spss		pass	no volume returned; quality gates decide
cronbach alpha quá cao phải làm sao		pass	no volume returned; quality gates decide
lỗi cronbach alpha quá cao spss		pass	no volume returned; quality gates decide
item total correlation nhỏ hơn 0 3 phải làm sao		pass	no volume returned; quality gates decide
lỗi item total correlation nhỏ hơn 0 3 spss		pass	no volume returned; quality gates decide
thang đo không đạt độ tin cậy phải làm sao		pass	no volume returned; quality gates decide
lỗi thang đo không đạt độ tin cậy spss		pass	no volume returned; quality gates decide
vif cao phải làm sao		pass	no volume returned; quality gates decide
lỗi vif cao spss		pass	no volume returned; quality gates decide
r bình phương quá thấp phải làm sao		pass	no volume returned; quality gates decide
lỗi r bình phương quá thấp spss		pass	no volume returned; quality gates decide
hệ số hồi quy trái dấu phải làm sao		pass	no volume returned; quality gates decide
lỗi hệ số hồi quy trái dấu spss		pass	no volume returned; quality gates decide
sig lớn hơn 0 05 phải làm sao		pass	no volume returned; quality gates decide
lỗi sig lớn hơn 0 05 spss		pass	no volume returned; quality gates decide
giả thuyết bị bác bỏ phải làm sao		pass	no volume returned; quality gates decide
lỗi giả thuyết bị bác bỏ spss		pass	no volume returned; quality gates decide
phần dư không phân phối chuẩn phải làm sao		pass	no volume returned; quality gates decide
lỗi phần dư không phân phối chuẩn spss		pass	no volume returned; quality gates decide
phương sai sai số thay đổi phải làm sao		pass	no volume returned; quality gates decide
lỗi phương sai sai số thay đổi spss		pass	no volume returned; quality gates decide
sai số chuẩn quá lớn phải làm sao		pass	no volume returned; quality gates decide
lỗi sai số chuẩn quá lớn spss		pass	no volume returned; quality gates decide
dữ liệu không phân phối chuẩn phải làm sao		pass	no volume returned; quality gates decide
lỗi dữ liệu không phân phối chuẩn spss		pass	no volume returned; quality gates decide
mẫu quá nhỏ phải làm sao		pass	no volume returned; quality gates decide
lỗi mẫu quá nhỏ spss		pass	no volume returned; quality gates decide
dữ liệu bị thiếu nhiều phải làm sao		pass	no volume returned; quality gates decide
lỗi dữ liệu bị thiếu nhiều spss		pass	no volume returned; quality gates decide
nhiều outlier phải làm sao		pass	no volume returned; quality gates decide
lỗi nhiều outlier spss		pass	no volume returned; quality gates decide
trả lời cùng một đáp án phải làm sao		pass	no volume returned; quality gates decide
lỗi trả lời cùng một đáp án spss		pass	no volume returned; quality gates decide
mất dữ liệu khi recode phải làm sao		pass	no volume returned; quality gates decide
lỗi mất dữ liệu khi recode spss		pass	no volume returned; quality gates decide
biến định tính chạy hồi quy phải làm sao		pass	no volume returned; quality gates decide
lỗi biến định tính chạy hồi quy spss		pass	no volume returned; quality gates decide
ave nhỏ hơn 0 5 phải làm sao		pass	no volume returned; quality gates decide
lỗi ave nhỏ hơn 0 5 spss		pass	no volume returned; quality gates decide
htmt lớn hơn 0 9 phải làm sao		pass	no volume returned; quality gates decide
lỗi htmt lớn hơn 0 9 spss		pass	no volume returned; quality gates decide
giá trị phân biệt không đạt phải làm sao		pass	no volume returned; quality gates decide
