slug	focus_keyword	measured_volume	gate_status	category	archetype	write_status	load_status	clashes_with	attempts	usd
spss	spss	14800	measured	spss	spss-howto	repaired	scheduled		2	0.01684
cfa	cfa	8100	measured	thong-ke	term-la-gi	ok	scheduled		1	0.00735
phieu-khao-sat-online	phiếu khảo sát online	14800	measured	khao-sat	survey	ok	scheduled		1	0.00704
nghien-cuu-khoa-hoc	nghiên cứu khoa học	6600	measured	nghien-cuu-khoa-hoc	term-la-gi	ok	scheduled		1	0.00690
cach-ghi-tai-lieu-tham-khao	cách ghi tài liệu tham khảo	14800	measured	khoa-luan-tot-nghiep	thesis-writing	repaired	scheduled		2	0.01676
smart-pls	smart pls	2400	measured	smartpls	term-la-gi	ok	scheduled		1	0.00757
thap-nhu-cau-maslow	tháp nhu cầu maslow	14800	measured	mo-hinh-nghien-cuu	model-theory	ok	scheduled		1	0.00733
ma-tran-xoay	ma trận xoay	6600	measured	spss	spss-howto	repaired	scheduled		2	0.01565
do-lech-chuan	độ lệch chuẩn	8100	measured	thong-ke	term-la-gi	ok	scheduled		1	0.00682
bieu-mau-khao-sat	biểu mẫu khảo sát	9900	measured	khao-sat	survey	ok	scheduled		1	0.00734
nckh-la-gi	nckh là gì	2900	measured	nghien-cuu-khoa-hoc	term-la-gi	ok	scheduled		1	0.00785
cach-trich-dan-tai-lieu-tham-khao	cách trích dẫn tài liệu tham khảo	9900	measured	khoa-luan-tot-nghiep	thesis-writing	ok	refused-duplicate	cach-ghi-tai-lieu-tham-khao	1	0.00758
sem-la-gi	sem là gì	1300	measured	smartpls	term-la-gi	ok	scheduled		1	0.00765
mo-hinh-swot	mô hình swot	3600	measured	mo-hinh-nghien-cuu	model-theory	ok	scheduled		1	0.00823
cronbach-alpha	cronbach alpha	1300	measured	spss	spss-howto	ok	scheduled		1	0.00715
phuong-sai	phương sai	8100	measured	thong-ke	term-la-gi	ok	scheduled		1	0.00690
form-khao-sat	form khảo sát	6600	measured	khao-sat	survey	ok	refused-duplicate	gg-form-khao-sat	1	0.00744
dinh-tinh-la-gi	định tính là gì	1900	measured	nghien-cuu-khoa-hoc	term-la-gi	ok	scheduled		1	0.00707
abstract	abstract	8100	measured	khoa-luan-tot-nghiep	thesis-writing	ok	scheduled		1	0.00696
ave-la-gi	ave là gì	1000	measured	smartpls	smartpls-howto	ok	scheduled		1	0.00718
porter-s-five-forces	porter's five forces	2900	measured	mo-hinh-nghien-cuu	model-theory	ok	scheduled		1	0.00754
amos	amos	1000	measured	spss	term-la-gi	ok	scheduled		1	0.00718
outlier	outlier	6600	measured	thong-ke	term-la-gi	repaired	scheduled		2	0.01537
bang-hoi-la-gi	bảng hỏi là gì	4400	measured	khao-sat	survey	ok	scheduled		1	0.00719
linh-vuc-nghien-cuu	lĩnh vực nghiên cứu	1900	measured	nghien-cuu-khoa-hoc	term-la-gi	ok	scheduled		1	0.00714
thac-si	thạc sĩ	6600	measured	khoa-luan-tot-nghiep	thesis-writing	ok	scheduled		1	0.00873
partial-least-squares-la-gi	partial least squares là gì	880	measured	smartpls	term-la-gi	ok	scheduled		1	0.00743
mo-hinh-aida	mô hình aida	1600	measured	mo-hinh-nghien-cuu	model-theory	ok	scheduled		1	0.00754
efa	efa	1000	measured	spss	spss-howto	ok	scheduled		1	0.00771
outliers	outliers	6600	measured	thong-ke	term-la-gi	ok	scheduled		1	0.00743
co-mau-la-gi	cỡ mẫu là gì	4400	measured	khao-sat	term-la-gi	ok	scheduled		1	0.00712
doi-tuong-nghien-cuu	đối tượng nghiên cứu	1600	measured	nghien-cuu-khoa-hoc	term-la-gi	ok	scheduled		1	0.00703
check-turnitin	check turnitin	5400	measured	khoa-luan-tot-nghiep	thesis-writing	repaired	scheduled		2	0.01600
pls-sem	pls-sem	720	measured	smartpls	term-la-gi	ok	scheduled		1	0.00753
mo-hinh-servqual	mô hình servqual	1300	measured	mo-hinh-nghien-cuu	model-theory	ok	refused-duplicate	servqual	1	0.00824
hoi-quy-tuyen-tinh	hồi quy tuyến tính	1000	measured	spss	spss-howto	ok	scheduled		1	0.00817
cong-thuc-tinh-phuong-sai	công thức tính phương sai	5400	measured	thong-ke	term-la-gi	repaired	scheduled		2	0.01489
khao-sat-google	khảo sát google	1900	measured	khao-sat	survey	ok	refused-duplicate	bieu-mau-khao-sat	1	0.00717
dinh-luong-la-gi	định lượng là gì	1300	measured	nghien-cuu-khoa-hoc	term-la-gi	ok	scheduled		1	0.00734
phu-luc-la-gi	phụ lục là gì	3600	measured	khoa-luan-tot-nghiep	thesis-writing	ok	scheduled		1	0.00774
mo-hinh-sem	mô hình sem	480	measured	smartpls	term-la-gi	ok	refused-duplicate	pls-sem	1	0.00709
gia-thuyet-la-gi	giả thuyết là gì	1000	measured	mo-hinh-nghien-cuu	model-theory	ok	scheduled		1	0.00745
thong-ke-mo-ta	thống kê mô tả	480	measured	spss	spss-howto	ok	scheduled		1	0.00714
moderating	moderating	5400	measured	thong-ke	term-la-gi	ok	scheduled		1	0.00741
likert-scale-la-gi	likert scale là gì	1900	measured	khao-sat	survey	ok	scheduled		1	0.00777
du-lieu-thu-cap-la-gi	dữ liệu thứ cấp là gì	1300	measured	nghien-cuu-khoa-hoc	term-la-gi	repaired	scheduled		2	0.01560
khoa-luan-tot-nghiep	khóa luận tốt nghiệp	2900	measured	khoa-luan-tot-nghiep	thesis-writing	ok	scheduled		1	0.00797
r-square	r square	480	measured	smartpls	smartpls-howto	repaired	scheduled		2	0.01566
mo-hinh-tam	mô hình tam	1000	measured	mo-hinh-nghien-cuu	model-theory	ok	scheduled		1	0.00846
bieu-do-boxplot	biểu đồ boxplot	390	measured	spss	spss-howto	ok	scheduled		1	0.00810
moderator	moderator	5400	measured	thong-ke	term-la-gi	repaired	scheduled		2	0.01477
thang-do-likert	thang đo likert	1600	measured	khao-sat	term-la-gi	ok	scheduled		1	0.00733
co-so-ly-luan-la-gi	cơ sở lý luận là gì	1000	measured	nghien-cuu-khoa-hoc	term-la-gi	ok	scheduled		1	0.00733
de-tai-nckh	đề tài nckh	2400	measured	khoa-luan-tot-nghiep	topic-list	ok	scheduled		1	0.00823
bien-dieu-tiet	biến điều tiết	260	measured	smartpls	smartpls-howto	repaired	scheduled		2	0.01595
servqual	servqual	880	measured	mo-hinh-nghien-cuu	model-theory	ok	scheduled		1	0.00822
bai-tap-hoi-quy-tuyen-tinh-co-loi-giai	bài tập hồi quy tuyến tính có lời giải	320	measured	spss	spss-howto	repaired	refused-duplicate	hoi-quy-tuyen-tinh	2	0.01547
trung-vi	trung vị	5400	measured	thong-ke	term-la-gi	ok	scheduled		1	0.00710
thang-do-likert-5-muc-do	thang đo likert 5 mức độ	1600	measured	khao-sat	survey	ok	refused-duplicate	thang-do-likert	1	0.00697
dinh-tinh-va-dinh-luong-la-gi	định tính và định lượng là gì	1000	measured	nghien-cuu-khoa-hoc	term-la-gi	ok	refused-duplicate	dinh-tinh-la-gi	1	0.00726
phuong-phap-nghien-cuu-khoa-hoc	phương pháp nghiên cứu khoa học	2400	measured	khoa-luan-tot-nghiep	thesis-writing	repaired	refused-duplicate	nghien-cuu-khoa-hoc	2	0.01687
vif-la-gi	vif là gì	260	measured	smartpls	smartpls-howto	repaired	scheduled		2	0.01523
