unit	display	templates	category	archetype	family
cronbach-alpha	cronbach alpha	{display} là gì;{display} trong spss;{display} bao nhiêu là tốt	thong-ke	term-la-gi	reliability
he-so-cronbach-alpha	hệ số cronbach alpha	{display} là gì;{display} trong spss;{display} bao nhiêu là tốt	thong-ke	term-la-gi	reliability
do-tin-cay-thang-do	độ tin cậy thang đo	{display} là gì;{display} trong spss;{display} bao nhiêu là tốt	thong-ke	term-la-gi	reliability
corrected-item-total-correlation	corrected item total correlation	{display} là gì;{display} trong spss;{display} bao nhiêu là tốt	thong-ke	term-la-gi	reliability
cronbach-alpha-if-item-deleted	cronbach alpha if item deleted	{display} là gì;{display} trong spss;{display} bao nhiêu là tốt	thong-ke	term-la-gi	reliability
composite-reliability	composite reliability	{display} là gì;{display} trong spss;{display} bao nhiêu là tốt	thong-ke	term-la-gi	reliability
rho-a	rho a	{display} là gì;{display} trong spss;{display} bao nhiêu là tốt	thong-ke	term-la-gi	reliability
do-tin-cay-tong-hop	độ tin cậy tổng hợp	{display} là gì;{display} trong spss;{display} bao nhiêu là tốt	thong-ke	term-la-gi	reliability
split-half-reliability	split half reliability	{display} là gì;{display} trong spss;{display} bao nhiêu là tốt	thong-ke	term-la-gi	reliability
test-retest-reliability	test retest reliability	{display} là gì;{display} trong spss;{display} bao nhiêu là tốt	thong-ke	term-la-gi	reliability
gia-tri-hoi-tu	giá trị hội tụ	{display} là gì;{display} trong spss;{display} bao nhiêu là tốt	thong-ke	term-la-gi	validity
gia-tri-phan-biet	giá trị phân biệt	{display} là gì;{display} trong spss;{display} bao nhiêu là tốt	thong-ke	term-la-gi	validity
gia-tri-noi-dung	giá trị nội dung	{display} là gì;{display} trong spss;{display} bao nhiêu là tốt	thong-ke	term-la-gi	validity
gia-tri-be-mat	giá trị bề mặt	{display} là gì;{display} trong spss;{display} bao nhiêu là tốt	thong-ke	term-la-gi	validity
ave	ave	{display} là gì;{display} trong spss;{display} bao nhiêu là tốt	thong-ke	term-la-gi	validity
phuong-sai-trich-ave	phương sai trích ave	{display} là gì;{display} trong spss;{display} bao nhiêu là tốt	thong-ke	term-la-gi	validity
htmt	htmt	{display} là gì;{display} trong spss;{display} bao nhiêu là tốt	thong-ke	term-la-gi	validity
fornell-larcker	fornell larcker	{display} là gì;{display} trong spss;{display} bao nhiêu là tốt	thong-ke	term-la-gi	validity
cross-loading	cross loading	{display} là gì;{display} trong spss;{display} bao nhiêu là tốt	thong-ke	term-la-gi	validity
construct-validity	construct validity	{display} là gì;{display} trong spss;{display} bao nhiêu là tốt	thong-ke	term-la-gi	validity
efa	efa	{display} là gì;{display} trong spss;{display} bao nhiêu là tốt	thong-ke	term-la-gi	efa
phan-tich-nhan-to-kham-pha	phân tích nhân tố khám phá	{display} là gì;{display} trong spss;{display} bao nhiêu là tốt	thong-ke	term-la-gi	efa
cfa	cfa	{display} là gì;{display} trong spss;{display} bao nhiêu là tốt	thong-ke	term-la-gi	efa
phan-tich-nhan-to-khang-dinh	phân tích nhân tố khẳng định	{display} là gì;{display} trong spss;{display} bao nhiêu là tốt	thong-ke	term-la-gi	efa
kmo	kmo	{display} là gì;{display} trong spss;{display} bao nhiêu là tốt	thong-ke	term-la-gi	efa
kiem-dinh-bartlett	kiểm định bartlett	{display} là gì;{display} trong spss;{display} bao nhiêu là tốt	thong-ke	term-la-gi	efa
eigenvalue	eigenvalue	{display} là gì;{display} trong spss;{display} bao nhiêu là tốt	thong-ke	term-la-gi	efa
phuong-sai-trich	phương sai trích	{display} là gì;{display} trong spss;{display} bao nhiêu là tốt	thong-ke	term-la-gi	efa
total-variance-explained	total variance explained	{display} là gì;{display} trong spss;{display} bao nhiêu là tốt	thong-ke	term-la-gi	efa
he-so-tai-nhan-to	hệ số tải nhân tố	{display} là gì;{display} trong spss;{display} bao nhiêu là tốt	thong-ke	term-la-gi	efa
factor-loading	factor loading	{display} là gì;{display} trong spss;{display} bao nhiêu là tốt	thong-ke	term-la-gi	efa
communality	communality	{display} là gì;{display} trong spss;{display} bao nhiêu là tốt	thong-ke	term-la-gi	efa
